('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         3099869 function calls (3069206 primitive calls) in 27.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1076    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
       26    0.000    0.000    0.006    0.000 _connection.py:354(_send_message_to_server)
     1527    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
2811/2167    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      805    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
  424/419    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     2981    0.000    0.000    0.001    0.000 inspect.py:954(<genexpr>)
      775    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
     1486    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
      580    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
     3177    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      285    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
      158    0.000    0.000    0.020    0.000 _transport.py:83(deserialize_message)
      312    0.000    0.000    0.288    0.001 http11.py:196(_receive_response_body)
      179    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
      209    0.000    0.000    0.048    0.000 _parser.py:969(parse)
      243    0.000    0.000    0.001    0.000 <frozen os>:680(__getitem__)
      688    0.000    0.000    0.001    0.000 events.py:36(__init__)
      976    0.000    0.000    0.001    0.000 <frozen posixpath>:405(normpath)
      865    0.000    0.000    0.001    0.000 typing.py:2310(get_origin)
      601    0.000    0.000    0.002    0.000 base_events.py:785(call_soon)
      386    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     1686    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      146    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
      500    0.000    0.000    0.000    0.000 traceback.py:327(walk_stack)
      453    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      116    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      607    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      405    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      512    0.000    0.000    0.005    0.000 inspect.py:969(getabsfile)
      158    0.000    0.000    0.019    0.000 __init__.py:299(loads)
      312    0.000    0.000    0.295    0.001 _models.py:884(iter_bytes)
     2827    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      320    0.000    0.000    0.000    0.000 _state.py:316(_fire_state_triggered_transitions)
       79    0.000    0.000    0.004    0.000 css_parser.py:472(parse_attribute_selector)
      405    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      375    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
     1107    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      500    0.000    0.000    0.004    0.000 linecache.py:26(getline)
       24    0.000    0.000    0.037    0.002 _sync_base.py:111(<lambda>)
      636    0.000    0.000    0.000    0.000 selector_events.py:750(_process_events)
1311/1054    0.000    0.000    0.001    0.000 typing.py:1258(__hash__)
      464    0.000    0.000    0.014    0.000 <frozen posixpath>:428(realpath)
      457    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
      312    0.000    0.000    0.000    0.000 _events.py:299(__init__)
     1073    0.000    0.000    0.001    0.000 contextlib.py:132(__enter__)
      158    0.000    0.000    0.014    0.000 decoder.py:332(decode)
      427    0.000    0.000    0.001    0.000 typing.py:1178(__getattr__)
      607    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     4183    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      369    0.000    0.000    1.883    0.005 ssl.py:1226(recv)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      153    0.000    0.000    0.004    0.000 typing.py:1449(__getitem__)
      953    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
      146    0.000    0.000    0.003    0.000 unix_events.py:523(_read_ready)
      386    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       94    0.000    0.000    0.006    0.000 dataclasses.py:449(_create_fn)
      144    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      297    0.000    0.000    0.000    0.000 inspect.py:1655(__new__)
       26    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
      312    0.000    0.000    0.289    0.001 _models.py:935(iter_raw)
     2266    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
       35    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      278    0.000    0.000    0.000    0.000 streams.py:521(_wait_for_data)
     1767    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       41    0.000    0.000    0.001    0.000 _connection.py:148(__init__)
     1544    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     2827    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      297    0.000    0.000    0.003    0.000 inspect.py:1670(_get_code_position)
     1767    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
   128/60    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000   19.052    6.351 base_events.py:627(run_forever)
       64    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
      453    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
  387/381    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      188    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
  537/460    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      101    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      976    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
      666    0.000    0.000    0.000    0.000 _receivebuffer.py:77(maybe_extract_at_most)
      369    0.000    0.000    1.883    0.005 ssl.py:1095(read)
     2107    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      145    0.000    0.000    0.002    0.000 streams.py:499(feed_data)
      278    0.000    0.000    0.002    0.000 typing.py:514(__getitem__)
      607    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      818    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
