('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         2927509 function calls (2896612 primitive calls) in 38.077 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
     2610    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      603    0.000    0.000    0.000    0.000 selector_events.py:750(_process_events)
      146    0.000    0.000    0.054    0.000 __init__.py:299(loads)
      146    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       17    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      500    0.000    0.000    0.475    0.001 linecache.py:26(getline)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       52    0.000    0.000    0.018    0.000 enum.py:254(__set_name__)
  900/832    0.000    0.000    0.001    0.000 typing.py:1258(__hash__)
      416    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
     3657    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      737    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
  176/101    0.000    0.000    0.409    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
  351/348    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       65    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
     3227    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
     1115    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      783    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1625    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      275    0.000    0.000    0.191    0.001 response.py:1378(read_chunked)
     1625    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      569    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
     2610    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      138    0.000    0.000    0.003    0.000 unix_events.py:523(_read_ready)
       24    0.000    0.000    0.033    0.001 _sync_base.py:111(<lambda>)
      146    0.000    0.000    0.051    0.000 decoder.py:332(decode)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      117    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
      297    0.000    0.000    0.003    0.000 inspect.py:1670(_get_code_position)
      297    0.000    0.000    0.000    0.000 inspect.py:1655(__new__)
   141/72    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       26    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
      369    0.000    0.000    1.218    0.003 ssl.py:1095(read)
        3    0.000    0.000   28.574    9.525 base_events.py:627(run_forever)
      814    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
     1016    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
       33    0.000    0.000    0.019    0.001 enum.py:528(__new__)
      529    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      256    0.000    0.000    0.000    0.000 streams.py:521(_wait_for_data)
      740    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       52    0.000    0.000    0.389    0.007 _connection.py:109(_inner_send)
       38    0.000    0.000    0.001    0.000 _connection.py:148(__init__)
     1218    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      205    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      500    0.000    0.000    0.475    0.001 traceback.py:318(line)
      489    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
