Ingredient,Total Fat (% DV),Saturated Fat (% DV),Cholesterol (% DV),Total Carbohydrate (% DV),Dietary Fiber (% DV),Sodium (% DV),Protein (% DV),Added Sugars (% DV),Vitamin D (% DV),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Vitamin E (% DV),Vitamin K (% DV),Thiamin (% DV),Riboflavin (% DV),Niacin (% DV),Vitamin B6 (% DV),Folate (% DV),Vitamin B12 (% DV),Biotin (% DV),Pantothenic acid (% DV),Phosphorus (% DV),Iodine (% DV),Magnesium (% DV),Zinc (% DV),Selenium (% DV),Copper (% DV),Manganese (% DV),Chromium (% DV),Molybdenum (% DV),Chloride (% DV),Potassium (% DV),Choline (% DV)
sour cream,21.4,0.0,22.3,2.4,0.0,2.2,6.7,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sourdough,1.1,0.0,0.0,19.1,6.4,22.9,21.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,83.3,22.9,21.9,0.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soy,9.4,0.0,0.0,19.3,12.5,36.6,53.0,0.0,0.0,0.0,0.0,13.2,28.9,6.7,9.9,27.8,26.8,18.6,30.2,60.0,0.0,0.0,0.0,0.6,0.0,40.5,13.6,22.0,272.9,0.0,0.0,0.0,0.0,0.1,20.2
soy sauce,0.7,0.0,0.0,1.8,2.9,238.8,16.3,0.0,0.0,0.0,0.0,2.5,8.1,0.0,0.0,2.8,12.7,13.7,8.7,3.5,0.0,0.0,0.0,13.3,0.0,17.6,7.9,0.9,4.8,0.0,0.0,0.0,0.0,9.3,3.3
sparkling wine,0.0,0.0,0.0,0.8,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.7,1.7,0.0,0.2,0.3,1.1,0.7,2.6,0.2,0.0,0.0,0.0,1.4,0.0,2.4,1.0,0.2,0.6,0.0,0.0,0.0,0.0,1.6,0.8
spice,16.5,0.0,0.0,19.6,124.6,3.0,28.2,0.0,0.0,273.3,1.0,17.6,117.2,194.0,66.9,27.5,94.6,63.1,125.9,12.2,0.0,0.0,50.2,25.1,0.0,42.4,39.4,11.5,79.2,69.1,0.0,0.0,0.0,48.5,9.4
spinach,0.0,0.0,0.0,1.3,8.6,3.3,4.7,0.0,0.0,0.0,31.3,7.6,13.1,0.0,403.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,11.9,0.0
squash,3.6,0.0,0.7,2.3,5.0,6.0,1.3,0.0,0.0,1.9,3.8,1.6,1.8,3.3,2.4,3.1,1.6,4.9,6.6,2.0,0.0,0.0,0.0,1.1,0.0,2.6,1.7,0.5,3.8,0.0,0.0,0.0,0.0,2.4,1.4
squid,1.8,0.0,77.7,1.1,0.0,1.9,31.2,0.0,0.0,1.1,5.2,2.5,3.8,8.0,0.0,1.7,31.7,13.6,3.3,1.2,54.2,0.0,10.0,17.7,0.0,7.9,13.9,81.5,210.0,1.5,0.0,0.0,0.0,5.2,11.8
steak,11.7,0.0,10.7,1.6,2.5,10.6,23.8,0.0,0.0,1.0,25.1,1.3,6.9,9.5,16.2,4.5,6.4,14.1,15.1,3.2,25.4,0.0,0.0,7.1,0.0,3.8,17.8,21.1,7.2,0.0,0.0,0.0,0.0,4.3,8.4
