Ingredient,Total Fat (% DV),Saturated Fat (% DV),Cholesterol (% DV),Total Carbohydrate (% DV),Dietary Fiber (% DV),Sodium (% DV),Protein (% DV),Added Sugars (% DV),Vitamin D (% DV),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Vitamin E (% DV),Vitamin K (% DV),Thiamin (% DV),Riboflavin (% DV),Niacin (% DV),Vitamin B6 (% DV),Folate (% DV),Vitamin B12 (% DV),Biotin (% DV),Pantothenic acid (% DV),Phosphorus (% DV),Iodine (% DV),Magnesium (% DV),Zinc (% DV),Selenium (% DV),Copper (% DV),Manganese (% DV),Chromium (% DV),Molybdenum (% DV),Chloride (% DV),Potassium (% DV),Choline (% DV)
dill,0.4,0.0,0.0,0.9,3.6,35.2,1.0,0.0,0.0,0.7,2.6,4.4,1.4,0.2,14.4,3.8,4.4,0.7,2.1,2.0,0.0,0.0,4.0,1.3,0.0,1.7,0.9,0.0,3.1,2.7,0.0,0.0,0.0,2.5,0.6
dried fruit,0.8,0.0,0.0,28.6,17.1,1.4,4.6,0.0,0.0,2.8,6.1,3.0,7.2,10.1,4.8,5.4,6.7,6.3,8.6,2.5,0.0,0.0,0.0,5.1,0.0,5.7,2.5,1.6,24.3,0.0,0.0,0.0,0.0,11.3,2.1
duck,0.2,0.0,0.0,22.1,2.1,31.0,0.7,0.0,0.0,0.9,1.0,0.8,2.2,1.3,0.2,1.9,1.1,1.5,1.9,0.5,0.0,0.0,0.0,0.7,0.0,1.2,1.9,2.4,4.1,0.0,0.0,0.0,0.0,1.9,0.3
eau de vie,9.4,0.0,9.7,20.1,0.0,5.6,13.7,0.0,1.0,8.2,2.9,19.3,0.9,1.3,1.1,1.3,31.2,1.3,0.9,2.8,12.9,0.0,16.7,15.4,0.0,5.2,7.2,4.9,0.4,0.1,0.0,0.0,0.0,7.4,16.2
egg,12.8,0.0,137.0,0.3,0.0,5.6,24.8,0.0,12.3,20.0,0.0,3.7,9.3,0.0,0.0,6.4,32.2,0.0,3.7,17.8,42.5,0.0,0.0,14.7,32.7,2.7,11.3,56.5,0.0,0.0,0.0,0.0,0.0,2.8,60.9
egg nog,9.6,0.0,18.0,6.7,0.7,4.0,8.3,23.4,0.0,0.0,0.0,10.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0
eggplant,0.2,0.0,0.0,2.1,10.7,0.1,2.0,0.0,0.0,0.1,2.4,0.7,1.3,2.0,2.9,3.2,2.8,4.1,4.9,5.5,0.0,0.0,5.6,1.9,0.0,3.3,1.5,0.5,9.0,10.1,0.0,0.0,0.0,4.9,1.3
endive,0.3,0.0,0.0,1.2,11.1,1.0,2.5,0.0,0.0,12.0,7.2,4.0,4.6,2.9,192.5,6.7,5.8,2.5,1.2,35.5,0.0,0.0,18.0,2.2,0.0,3.6,7.2,0.4,11.0,18.3,0.0,0.0,0.0,6.7,3.1
escarole,0.2,0.0,0.0,1.1,10.0,0.8,2.3,0.0,0.0,10.4,3.7,3.5,4.0,2.7,176.7,4.9,4.8,1.9,0.9,19.5,0.0,0.0,16.5,1.8,0.0,3.1,6.3,0.4,9.7,16.7,0.0,0.0,0.0,5.2,2.8
fennel,0.3,0.0,0.0,2.7,11.1,2.3,2.5,0.0,0.0,5.3,13.3,3.8,4.1,3.9,52.3,0.8,2.5,4.0,2.8,6.8,0.0,0.0,4.6,4.0,0.0,4.0,1.8,1.3,7.3,8.3,0.0,0.0,0.0,8.8,2.4
feta,27.6,0.0,29.7,1.4,0.0,49.6,28.4,0.0,2.0,13.9,0.0,37.9,3.6,1.2,1.5,12.8,64.9,6.2,24.9,8.0,70.4,0.0,19.3,27.0,0.0,4.5,26.2,27.3,3.6,1.2,0.0,0.0,0.0,1.3,2.8
fig,0.3,0.0,0.0,7.0,7.9,0.0,1.1,0.0,0.0,0.4,1.3,2.0,1.6,0.5,2.9,3.0,2.8,1.7,4.8,0.8,0.0,0.0,0.0,0.8,0.0,3.1,1.0,0.4,5.4,0.0,0.0,0.0,0.0,3.3,0.6
fish,20.8,0.0,9.3,7.9,5.4,17.5,22.0,0.0,0.0,0.4,0.0,1.2,4.7,45.9,3.9,10.2,8.9,9.6,4.6,6.0,40.0,0.0,5.4,15.3,0.0,6.0,3.8,28.5,6.6,7.9,0.0,0.0,0.0,3.9,7.8
fontina,39.9,0.0,38.7,0.6,0.0,34.8,51.2,0.0,3.0,29.0,0.0,42.3,1.3,1.8,2.2,1.8,15.7,0.9,4.9,1.5,70.0,0.0,8.6,27.7,0.0,3.3,31.8,26.4,2.8,0.6,0.0,0.0,0.0,1.4,2.8
frangelico,26.4,0.0,13.7,1.4,0.0,12.7,24.0,0.0,0.0,0.0,0.8,0.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruit,1.4,0.0,1.3,4.4,3.9,1.2,4.6,0.0,3.0,2.2,10.6,6.2,1.1,1.1,2.8,3.5,7.7,1.9,4.2,2.2,11.7,0.0,0.0,5.4,0.0,3.3,3.4,2.7,3.8,0.0,0.0,0.0,0.0,3.7,2.1
fruit juice,0.0,0.0,0.0,6.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0
game,3.1,0.0,28.3,0.0,0.0,2.2,46.0,0.0,0.0,0.0,0.0,0.4,18.9,1.3,0.9,18.3,36.9,39.8,21.8,1.0,262.9,0.0,0.0,16.2,0.0,5.5,19.0,17.6,28.1,1.8,0.0,0.0,0.0,6.8,0.0
garlic,94.9,0.0,70.7,1.0,1.1,20.6,2.9,0.0,2.0,75.8,1.1,2.8,1.2,0.1,5.4,2.0,0.8,0.4,7.3,1.2,0.0,0.0,0.0,2.8,0.0,1.0,1.6,1.8,3.9,0.0,0.0,0.0,0.0,1.3,3.5
gin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0,2.3,0.8,0.0,0.0,0.0,0.0,0.0
ginger,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,1.3,0.0,0.0,0.0,0.0,0.1,0.1
goat cheese,41.2,0.0,32.0,0.0,0.0,29.5,50.0,0.0,0.0,0.0,4.8,54.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goose,17.1,0.0,284.0,0.5,0.0,6.0,27.8,0.0,8.5,20.8,0.0,4.6,20.2,8.6,0.3,12.2,29.4,1.2,13.9,19.0,212.5,0.0,35.2,16.6,0.0,3.8,12.1,67.1,6.9,1.7,0.0,0.0,0.0,4.5,47.8
gouda,35.1,0.0,38.0,0.8,0.0,35.6,49.8,0.0,2.5,18.3,0.0,53.8,1.3,1.6,1.9,2.5,25.7,0.4,4.7,5.2,64.2,0.0,6.8,43.7,0.0,6.9,35.5,26.4,4.0,0.5,0.0,0.0,0.0,2.6,2.8
grand marnier,24.7,0.0,4.0,25.8,3.6,8.8,5.0,0.0,0.0,4.2,0.8,5.8,1.9,2.8,5.2,4.8,9.2,1.2,0.9,1.2,12.1,0.0,3.6,6.9,0.0,6.0,9.0,4.5,20.6,7.5,0.0,0.0,0.0,3.5,4.5
grape,2.7,0.0,0.0,6.3,39.3,0.4,11.2,0.0,0.0,153.3,12.3,27.9,14.6,13.3,90.8,3.3,27.2,14.8,23.5,20.8,0.0,0.0,4.6,7.3,0.0,22.6,6.1,1.6,46.1,124.3,0.0,0.0,0.0,5.8,2.3
grapefruit,0.2,0.0,0.0,3.9,5.7,0.0,1.5,0.0,0.0,6.4,34.7,1.7,0.4,0.9,0.0,3.6,2.4,1.3,3.1,3.2,0.0,0.0,0.0,1.4,0.0,2.1,0.6,0.2,3.6,0.0,0.0,0.0,0.0,2.9,1.4
green bean,2.8,0.0,0.3,2.6,6.8,13.7,3.9,0.0,1.0,2.9,6.4,3.2,2.4,2.7,26.1,3.2,5.9,3.2,4.2,4.2,1.7,0.0,0.0,3.4,0.0,4.3,2.5,2.7,7.0,0.0,0.0,0.0,0.0,4.3,2.4
green onion/scallion,0.6,0.0,0.0,2.1,6.4,0.7,1.9,0.0,0.0,22.2,14.9,4.0,2.8,1.4,130.0,2.5,2.0,2.1,5.2,7.5,0.0,0.0,2.8,2.0,0.0,3.8,1.8,0.9,3.4,6.5,0.0,0.0,0.0,3.4,0.8
ground beef,34.4,0.0,28.3,0.0,0.0,2.9,30.4,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ground lamb,30.0,0.0,24.3,0.0,0.0,2.6,33.2,0.0,0.5,0.0,0.0,1.2,8.6,1.3,3.0,9.2,16.2,37.2,7.6,4.5,96.2,0.0,13.0,12.6,0.0,5.0,31.0,34.2,11.2,0.8,0.0,0.0,0.0,4.7,12.6
guava,23.7,0.0,3.3,17.4,7.9,10.0,11.0,0.0,0.0,0.0,0.0,1.1,11.8,6.3,10.4,15.8,9.0,15.6,3.1,0.0,0.0,0.0,5.4,4.5,0.0,3.6,3.8,31.8,8.8,11.5,0.0,0.0,0.0,2.2,0.0
halibut,1.7,0.0,16.3,0.0,0.0,3.0,37.2,0.0,23.5,2.2,0.0,0.5,0.9,4.1,0.0,4.2,2.3,40.7,32.2,3.0,45.8,0.0,6.9,18.9,0.0,5.5,3.3,82.9,2.6,0.5,0.0,0.0,0.0,9.3,11.2
ham,5.0,0.0,18.0,0.6,0.0,50.0,38.1,0.0,3.5,1.4,0.0,0.6,4.7,1.5,0.0,35.5,14.7,37.8,24.2,0.2,16.7,0.0,0.0,22.1,0.0,4.8,16.7,61.5,13.8,0.0,0.0,0.0,0.0,7.9,13.7
hazelnut,77.9,0.0,0.0,6.1,34.6,0.0,30.0,0.0,0.0,0.1,7.0,8.8,26.1,100.0,11.8,53.6,8.7,11.2,33.1,28.2,0.0,0.0,18.4,23.2,0.0,38.8,22.3,4.4,191.1,268.7,0.0,0.0,0.0,14.5,8.3
herb,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.4,0.0,0.0,0.8,0.3,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.0,1.7,1.9,0.0,0.0,0.0,0.2,0.0
hominy/cornmeal/masa,2.6,0.0,4.3,3.4,7.1,2.0,13.4,0.0,0.0,0.0,0.0,0.6,4.5,2.5,0.6,2.5,5.4,9.4,5.4,0.0,26.7,0.0,0.0,6.6,0.0,4.8,10.8,7.5,5.2,3.9,0.0,0.0,0.0,2.5,0.0
honey,0.0,0.0,0.0,30.0,0.7,0.2,0.6,0.0,0.0,0.0,0.6,0.5,2.3,0.0,0.0,0.0,2.9,0.8,1.4,0.5,0.0,0.0,1.4,0.3,0.0,0.5,2.0,1.5,4.0,3.5,0.0,0.0,0.0,1.1,0.4
honeydew,0.2,0.0,0.0,3.3,2.9,0.8,1.1,0.0,0.0,0.3,20.0,0.5,0.9,0.1,2.4,3.2,0.9,2.6,5.2,4.8,0.0,0.0,3.1,0.9,0.0,2.4,0.8,1.3,2.7,1.2,0.0,0.0,0.0,4.9,1.4
horseradish,0.9,0.0,0.0,4.1,11.8,18.3,2.4,0.0,0.0,0.0,27.7,4.3,2.3,0.1,1.1,0.7,1.8,2.4,4.3,14.2,0.0,0.0,0.0,2.5,0.0,6.4,7.5,5.1,6.4,0.0,0.0,0.0,0.0,5.2,1.2
hot pepper,0.5,0.0,0.0,2.8,7.9,0.3,2.8,0.0,0.0,5.7,145.8,1.0,3.6,14.2,13.5,4.7,6.0,7.9,27.2,6.2,0.0,0.0,0.0,2.7,0.0,4.5,1.8,0.7,9.8,0.0,0.0,0.0,0.0,6.1,1.7
hummus,36.7,0.0,0.0,7.8,25.4,20.2,14.3,0.0,0.0,0.0,9.6,5.5,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jalapeño,33.2,0.0,23.0,1.3,6.1,34.5,34.4,0.0,0.0,0.0,0.0,4.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
jam or jelly,0.0,0.0,0.0,24.4,3.6,1.1,0.4,0.0,0.0,0.0,6.1,0.8,1.6,0.3,0.2,0.8,2.9,0.4,1.1,1.2,0.0,0.0,0.0,0.7,0.0,1.2,0.5,1.6,4.0,0.0,0.0,0.0,0.0,1.3,1.7
jerusalem artichoke,0.0,0.0,0.0,6.3,5.7,0.2,4.0,0.0,0.0,0.1,4.4,1.1,18.9,1.3,0.1,16.7,4.6,8.1,4.5,3.2,0.0,0.0,7.9,6.2,0.0,4.0,1.1,1.3,15.6,2.6,0.0,0.0,0.0,9.1,5.5
kale,1.9,0.0,0.0,1.6,14.6,2.3,5.8,0.0,0.0,26.8,103.8,19.5,8.9,4.4,325.0,9.4,26.7,7.4,8.6,15.5,0.0,0.0,7.4,4.4,0.0,7.9,3.5,1.6,5.9,40.0,0.0,0.0,0.0,7.4,0.1
kirsch,0.1,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.7,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0
kiwi,0.6,0.0,0.0,5.1,10.7,0.2,2.1,0.0,0.0,0.4,83.0,2.7,1.3,8.7,33.6,2.2,1.9,2.3,3.6,6.5,0.0,0.0,0.0,2.7,0.0,3.8,1.3,0.4,14.9,0.0,0.0,0.0,0.0,4.2,1.4
kumquat,1.1,0.0,0.0,5.8,23.2,0.4,3.8,0.0,0.0,1.7,48.8,4.8,4.8,1.0,0.0,3.1,6.9,2.7,2.1,4.2,0.0,0.0,4.2,1.5,0.0,4.8,1.5,0.0,10.6,5.9,0.0,0.0,0.0,4.0,1.5
lamb,15.9,0.0,21.0,0.0,0.0,2.5,40.6,0.0,0.0,0.9,0.0,0.3,5.8,1.6,0.0,4.9,13.5,31.3,7.8,0.0,67.5,0.0,3.1,12.5,0.0,4.3,25.0,8.5,10.0,0.3,0.0,0.0,0.0,6.0,0.0
lamb chop,33.6,0.0,23.0,0.1,0.0,2.7,30.8,0.0,0.5,1.8,0.0,1.1,6.9,3.1,0.0,9.2,9.2,25.9,7.4,0.0,61.3,0.0,8.4,11.9,0.0,4.3,18.9,8.0,9.8,0.3,0.0,0.0,0.0,5.6,0.0
lamb shank,14.6,0.0,22.0,0.0,0.0,3.3,40.2,0.0,0.0,0.9,0.0,0.5,7.1,1.8,0.0,8.3,7.4,25.6,5.5,0.0,83.7,0.0,8.7,12.6,0.0,4.5,35.3,11.6,8.8,0.3,0.0,0.0,0.0,6.1,0.0
leafy green,9.4,0.0,7.7,2.4,3.2,13.6,16.2,0.0,0.0,0.6,1.3,1.0,4.5,6.0,8.8,3.2,6.6,10.3,7.6,3.0,16.7,0.0,0.0,5.7,0.0,3.1,12.6,14.2,4.8,0.0,0.0,0.0,0.0,3.0,6.3
leek,0.4,0.0,0.0,5.2,6.4,0.9,3.0,0.0,0.0,9.2,13.3,4.5,11.7,6.1,39.2,5.0,2.3,2.5,13.7,16.0,0.0,0.0,2.8,2.8,0.0,6.7,1.1,1.8,13.3,20.9,0.0,0.0,0.0,3.8,1.7
legume,2.3,0.0,0.0,24.7,31.8,0.0,35.8,0.0,0.0,0.0,0.0,2.2,19.8,0.0,0.0,83.3,27.5,55.8,0.0,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0
lemon,0.1,0.0,0.0,2.1,2.5,1.1,0.9,0.0,0.0,0.2,18.4,0.7,0.3,1.5,0.1,1.7,1.3,1.1,2.2,2.8,0.0,0.0,1.8,0.7,0.0,1.4,2.1,0.0,2.0,0.7,0.0,0.0,0.0,2.3,0.0
lemon juice,0.3,0.0,0.0,2.5,1.1,0.0,0.7,0.0,0.0,0.0,43.0,0.5,0.4,1.0,0.0,2.0,1.2,0.6,2.7,5.0,0.0,0.0,2.6,0.6,0.0,1.4,0.5,0.2,1.8,0.5,0.0,0.0,0.0,2.2,0.9
lemongrass,1.4,0.0,0.0,3.0,5.4,6.3,2.6,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lentil,1.4,0.0,0.0,23.1,38.2,0.3,49.2,0.0,0.0,0.2,5.0,2.7,36.2,3.3,4.2,72.8,16.2,16.2,31.8,119.8,0.0,0.0,42.8,22.5,0.0,11.2,29.7,0.2,83.8,60.4,0.0,0.0,0.0,14.4,17.5
lettuce,0.1,0.0,0.0,1.3,4.6,1.0,1.8,0.0,0.0,33.6,8.9,2.4,1.4,1.1,61.6,5.5,4.9,2.0,3.6,9.5,0.0,0.0,0.0,1.8,0.0,2.6,2.4,1.1,4.4,0.0,0.0,0.0,0.0,5.3,1.9
lima bean,1.1,0.0,0.0,7.3,17.5,0.3,13.7,0.0,0.0,1.1,26.0,2.6,17.4,2.1,4.7,18.1,7.9,9.2,12.0,8.5,0.0,0.0,4.9,10.9,0.0,13.8,7.1,3.3,35.3,53.0,0.0,0.0,0.0,9.9,7.3
lime,0.1,0.0,0.0,3.1,1.4,0.1,0.8,0.0,0.0,0.2,33.3,1.1,0.5,1.5,0.5,2.1,1.2,0.9,2.2,2.5,0.0,0.0,2.5,1.1,0.0,1.9,0.7,0.2,3.0,0.8,0.0,0.0,0.0,2.5,0.9
lime juice,0.1,0.0,0.0,3.1,1.4,0.1,0.8,0.0,0.0,0.2,33.3,1.1,0.5,1.5,0.5,2.1,1.2,0.9,2.2,2.5,0.0,0.0,2.5,1.1,0.0,1.9,0.7,0.2,3.0,0.8,0.0,0.0,0.0,2.5,0.9
lobster,1.0,0.0,42.3,0.0,0.0,18.4,33.0,0.0,0.0,0.1,0.0,6.5,1.4,5.8,0.0,1.7,1.1,9.9,6.1,2.5,52.1,0.0,29.0,12.9,0.0,9.0,32.1,115.6,150.0,2.4,0.0,0.0,0.0,4.3,12.8
lychee,0.6,0.0,0.0,6.0,4.6,0.0,1.7,0.0,0.0,0.0,79.4,0.4,1.7,0.5,0.3,0.9,5.0,3.8,5.9,3.5,0.0,0.0,0.0,2.5,0.0,2.4,0.6,1.1,16.4,0.0,0.0,0.0,0.0,3.6,1.3
macadamia nut,97.6,0.0,0.0,4.9,28.6,0.2,15.6,0.0,0.0,0.0,0.8,5.4,14.7,3.8,0.0,59.2,6.7,14.2,21.1,2.5,0.0,0.0,12.1,15.8,0.0,28.1,11.7,21.3,63.3,132.2,0.0,0.0,0.0,7.7,8.1
mango,0.0,0.0,0.0,27.3,17.9,0.0,5.0,0.0,0.0,8.3,0.0,3.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0
maple syrup,0.0,0.0,0.0,32.1,0.0,16.0,0.0,0.0,0.0,0.0,0.0,7.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,130.4,0.0,0.0,0.0,6.2,0.0
margarita,0.1,0.0,0.0,5.8,0.0,8.9,0.2,0.0,0.0,0.0,2.2,0.2,0.5,0.0,0.0,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.5,0.5,0.6,0.0,0.0,0.0,0.0,0.5,0.1
marsala,10.9,0.0,18.3,2.5,1.8,6.4,35.6,0.0,2.5,4.8,1.6,1.1,5.8,3.9,13.9,8.2,20.5,33.3,23.6,4.2,66.7,0.0,0.0,11.4,0.0,5.7,10.5,32.5,14.2,0.0,0.0,0.0,0.0,4.5,16.0
marscarpone,55.0,0.0,41.7,1.3,0.0,2.3,7.1,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marshmallow,0.3,0.0,0.0,29.6,0.4,3.5,3.6,0.0,0.0,0.0,0.0,0.2,1.3,0.0,0.0,0.1,0.1,0.5,0.2,0.2,0.0,0.0,0.1,0.6,0.0,0.5,0.4,3.1,10.8,0.3,0.0,0.0,0.0,0.1,0.0
mayonnaise,98.6,0.0,12.7,0.0,0.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meat,14.9,0.0,19.3,0.0,0.0,9.7,35.8,0.0,0.0,0.0,0.0,1.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melon,0.2,0.0,0.0,3.0,2.5,0.7,1.3,0.0,0.0,9.8,13.7,0.5,1.4,0.3,1.6,3.3,1.5,2.7,3.4,3.0,0.0,0.0,0.0,1.0,0.0,2.6,1.9,1.6,5.6,0.0,0.0,0.0,0.0,3.5,1.2
mezcal,0.0,0.0,0.0,4.8,0.0,26.1,6.7,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milk/cream,2.5,0.0,2.7,1.8,0.0,2.1,6.8,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0
mint,0.1,0.0,0.0,35.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,1.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0
molasses,16.4,0.0,0.0,26.8,3.6,20.0,11.2,0.0,0.0,0.0,0.0,5.7,35.7,0.7,4.6,29.6,20.3,18.9,6.1,22.2,0.0,0.0,8.2,7.6,0.0,12.4,4.1,10.2,41.4,54.8,0.0,0.0,0.0,7.4,1.5
monterey jack,41.8,0.0,33.3,0.7,0.0,28.8,45.2,0.0,0.0,21.3,0.0,55.0,0.0,1.7,2.1,1.2,30.0,0.6,4.6,4.5,34.6,0.0,0.0,37.7,0.0,7.1,34.4,26.4,0.0,0.0,0.0,0.0,0.0,1.8,2.8
mozzarella,23.6,0.0,11.0,8.3,7.5,36.4,29.8,0.0,0.0,12.6,0.0,24.5,2.4,4.7,18.5,6.1,20.0,4.1,3.9,0.0,41.2,0.0,8.2,24.6,0.0,4.8,18.2,32.0,6.6,10.4,0.0,0.0,0.0,2.3,0.0
mushroom,16.6,0.0,3.7,8.0,5.7,13.8,9.3,0.0,0.5,0.6,0.9,2.1,9.0,15.5,10.3,22.5,25.2,21.9,3.3,13.8,2.5,0.0,0.0,6.6,0.0,3.1,4.5,26.0,24.3,0.0,0.0,0.0,0.0,4.6,3.6
mussel,2.9,0.0,9.3,1.3,0.0,12.4,23.8,0.0,0.0,5.3,8.9,2.0,21.9,3.7,0.1,13.3,16.2,10.0,2.9,10.5,500.0,0.0,10.0,15.8,0.0,8.1,14.5,81.5,10.4,147.8,0.0,0.0,0.0,6.8,11.8
mustard,4.3,0.0,0.0,1.9,15.4,47.8,8.5,0.0,0.0,0.4,0.4,4.8,8.8,2.3,1.2,15.8,5.1,3.5,4.1,1.8,0.0,0.0,0.0,8.6,0.0,11.4,5.8,61.8,8.2,0.0,0.0,0.0,0.0,3.2,4.1
mustard greens,0.0,0.0,0.0,1.7,12.5,0.8,4.7,0.0,0.0,17.0,78.4,9.1,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0
nectarine,0.4,0.0,0.0,3.9,6.1,0.0,2.1,0.0,0.0,1.9,6.0,0.5,1.6,5.1,1.8,2.8,2.1,7.0,1.5,1.2,0.0,0.0,3.7,2.1,0.0,2.1,1.5,0.0,9.6,2.3,0.0,0.0,0.0,4.3,1.1
noodle,2.6,0.0,9.7,9.1,4.3,10.3,9.0,0.0,0.5,0.7,0.0,0.9,8.1,1.1,0.0,23.9,10.4,12.9,2.7,20.8,3.8,0.0,0.0,6.1,0.0,5.0,5.9,43.3,10.8,0.0,0.0,0.0,0.0,0.8,4.6
nut,56.2,0.0,0.0,11.0,11.8,0.5,36.4,0.0,0.0,0.0,0.6,2.8,37.1,6.0,28.4,35.2,4.5,6.6,24.5,6.2,0.0,0.0,17.3,47.4,0.0,69.5,52.5,36.2,244.4,72.2,0.0,0.0,0.0,14.0,0.0
oat,3.0,0.0,0.0,2.0,1.8,1.9,1.3,0.0,8.5,0.0,0.0,11.9,1.2,2.5,1.2,1.9,0.6,0.4,0.3,0.5,20.8,0.0,0.0,1.6,0.0,1.9,1.7,2.7,3.2,0.0,0.0,0.0,0.0,0.4,0.4
oatmeal,0.6,0.0,0.0,4.4,7.1,3.0,4.2,0.0,0.0,0.0,0.0,0.7,2.6,0.7,0.5,3.8,2.1,3.8,2.5,0.8,0.0,0.0,0.0,4.4,0.0,4.8,5.0,9.6,7.6,0.0,0.0,0.0,0.0,1.1,0.9
octopus,1.3,0.0,16.0,0.8,0.0,10.0,29.8,0.0,0.0,5.0,5.6,4.1,29.4,8.0,0.1,2.5,3.1,13.1,21.2,4.0,833.3,0.0,10.0,14.9,0.0,7.1,15.3,81.5,48.3,1.1,0.0,0.0,0.0,7.4,11.8
okra,16.5,0.0,3.7,8.1,5.7,13.7,7.8,0.0,0.5,1.1,4.0,4.0,9.5,16.2,25.3,22.9,12.4,12.4,2.1,19.8,1.7,0.0,0.0,4.2,0.0,5.5,4.0,10.0,8.4,0.0,0.0,0.0,0.0,2.4,2.9
olive,38.5,0.0,0.0,1.5,6.4,36.3,1.5,0.0,0.0,1.6,0.4,4.6,18.9,40.9,5.2,0.7,0.2,0.6,0.8,0.2,0.0,0.0,0.0,0.2,0.0,1.2,1.1,1.3,18.0,0.0,0.0,0.0,0.0,0.4,1.7
onion,0.1,0.0,0.0,3.4,6.1,0.2,2.2,0.0,0.0,0.0,8.2,1.8,1.2,0.1,0.3,3.8,2.1,0.7,7.1,4.8,0.0,0.0,2.5,2.3,0.0,2.4,1.5,0.9,4.3,5.6,0.0,0.0,0.0,3.1,1.1
